"","x"
"1","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> í ½yone"
"2","how did berlin become one of my favorite characters from money heist smh"
"3","just one question seem to be disturbing me
why do media keep portrayingthe evil one when the rea…"
"4","is raquel in money heist the same girl that berlin married"
"5","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"6","do you know who changes sides during wars the traitors the lowest of the low and do you know what happens to these rats…"
"7","series
money heist
to all the boys
camila mendes
ross butler"
"8","riverdale money heistwhat happened to monday amp murder to mercy"
"9","the money heist"
"10","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> what happens to these rats…"
"11","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"12","u couldn’t do x money for casino heist"
"13","get the new season of money heist out asap fuck me"
"14","moral of the story is that money heist is far from perfect"
"15","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…"
"16","hii i am quite new here and i want to meet some mutuals so rt if you stan
 new hope club
 sos
 one direction
 harry…"
"17","guys i’m visitingand she wants to watch money heist <U+0001F62D><U+0001F62D><U+0001F62D> why mare  stan
 new hope club
 sos
 one direction
 harry…"
"18","thokozani the gifted society 
bless you today i teach you how to mint money in your prosperity altar call it a money…"
"19","finally done <U+0001F600>
el professor from money heist i teach you how to mint money in your prosperity altar call it a money…"
"20","the money heist"
"21","just remembered bado sijawatch seasonya money heist"
"22","here’s a portrait i did of half professor and half dali from money heist<U+0001F97A><U+2665><U+FE0F>in your prosperity altar call it a money…"
"23","beautiful artwork <U+0001F44F><U+0001F44F><U+0001F44F>

professormoney heist 
walter whitebreaking bad
thomas shelbypeaky blinders 
michael scofiel"
"24","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"25","nothing to honor george floyd like double money on the casino heist"
"26","money heist"
"27","honestly can u guys js make the casino heist x money u only did x rp like cmon now"
"28","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>o my heart stopped beating…"
"29","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"30","kindha comments lo chepadu ga compared to dark money heist ani"
"31","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"32","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"33","i just started watching money heist and wow this is really good"
"34","istg arturito is the most annoying character in money heist"
"35","money heist"
"36","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
"37","x rp on the casino heist what a troll <U+0001F612> i needed to be x money alsoear her the high note tho my heart stopped beating…"
"38","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…"
